system:index,ADM2_NAME,LST_Day_1km,.geo
00000000000000000156_0,Uasin Gishu,20.443333333333367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_1,Uasin Gishu,23.157027027027056,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_2,Uasin Gishu,23.536111111111147,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_3,Uasin Gishu,21.140000000000025,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_4,Uasin Gishu,21.116315789473703,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_5,Uasin Gishu,21.981351351351385,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_6,Uasin Gishu,22.596486486486523,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_7,Uasin Gishu,23.206216216216244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_8,Uasin Gishu,23.36243243243246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_9,Uasin Gishu,19.31702702702706,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_10,Uasin Gishu,18.59378378378381,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_11,Uasin Gishu,18.66891891891895,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_12,Uasin Gishu,18.82081081081084,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_13,Uasin Gishu,19.692105263157924,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_14,Uasin Gishu,20.882432432432473,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_15,Uasin Gishu,21.787222222222262,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_16,Uasin Gishu,22.272162162162182,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_17,Uasin Gishu,22.61054054054057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_18,Uasin Gishu,22.806756756756787,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_19,Uasin Gishu,19.518108108108137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_20,Uasin Gishu,18.884054054054086,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_21,Uasin Gishu,18.41324324324327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_22,Uasin Gishu,18.327297297297324,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_23,Uasin Gishu,18.655945945945977,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_24,Uasin Gishu,19.037027027027055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_25,Uasin Gishu,19.54189189189193,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_26,Uasin Gishu,19.71277777777781,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_27,Uasin Gishu,21.01972972972976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_28,Uasin Gishu,21.59432432432435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_29,Uasin Gishu,21.5175675675676,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_30,Uasin Gishu,19.945675675675705,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_31,Uasin Gishu,19.32405405405408,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_32,Uasin Gishu,18.734864864864896,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_33,Uasin Gishu,18.65972972972976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_34,Uasin Gishu,19.00081081081084,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_35,Uasin Gishu,18.893783783783814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_36,Uasin Gishu,19.27864864864868,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_37,Uasin Gishu,19.45594594594597,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_38,Uasin Gishu,20.51270270270273,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_39,Uasin Gishu,21.16459459459462,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_40,Uasin Gishu,21.45432432432435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_41,Uasin Gishu,21.393783783783814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_42,Uasin Gishu,22.190555555555584,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_43,Uasin Gishu,21.382432432432466,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_44,Uasin Gishu,20.8002702702703,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_45,Uasin Gishu,21.17054054054057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_46,Uasin Gishu,20.726216216216244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_47,Uasin Gishu,20.27324324324327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_48,Uasin Gishu,20.42729729729733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_49,Uasin Gishu,21.366756756756775,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_50,Uasin Gishu,21.385135135135165,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_51,Uasin Gishu,20.23918918918922,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_52,Uasin Gishu,19.56243243243246,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_53,Uasin Gishu,19.505135135135166,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_54,Uasin Gishu,20.079189189189222,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_55,Uasin Gishu,22.612777777777815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_56,Uasin Gishu,22.571111111111136,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_57,Uasin Gishu,21.67000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_58,Uasin Gishu,21.53702702702705,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_59,Uasin Gishu,21.155405405405435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_60,Uasin Gishu,20.741891891891918,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_61,Uasin Gishu,20.563513513513538,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_62,Uasin Gishu,21.005135135135166,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_63,Uasin Gishu,20.76135135135138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_64,Uasin Gishu,20.066216216216244,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_65,Uasin Gishu,19.79432432432435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_66,Uasin Gishu,19.51918918918922,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_67,Uasin Gishu,19.694324324324356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_68,Uasin Gishu,21.76135135135138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_69,Uasin Gishu,21.91111111111114,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_70,Uasin Gishu,21.57722222222226,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_71,Uasin Gishu,21.307222222222258,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_72,Uasin Gishu,20.939444444444483,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_73,Uasin Gishu,20.328421052631604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_74,Uasin Gishu,20.385789473684238,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_75,Uasin Gishu,20.768918918918946,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_76,Uasin Gishu,20.83864864864868,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_77,Uasin Gishu,21.27611111111114,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_78,Uasin Gishu,21.08621621621625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_79,Uasin Gishu,21.082972972973003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_80,Uasin Gishu,21.03594594594598,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_81,Uasin Gishu,20.355945945945983,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_82,Uasin Gishu,21.21486486486489,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_83,Uasin Gishu,21.955263157894766,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_84,Uasin Gishu,20.74783783783786,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_85,Uasin Gishu,20.73222222222225,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_86,Uasin Gishu,20.223333333333365,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_87,Uasin Gishu,19.98833333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_88,Uasin Gishu,19.748888888888914,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_89,Uasin Gishu,19.856842105263187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_90,Uasin Gishu,20.65368421052635,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_91,Uasin Gishu,21.77000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_92,Uasin Gishu,22.273783783783816,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_93,Uasin Gishu,23.047837837837868,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_94,Uasin Gishu,23.145135135135163,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_95,Uasin Gishu,23.139729729729755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_96,Uasin Gishu,23.038648648648675,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_97,Uasin Gishu,21.760555555555584,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_98,Uasin Gishu,21.277567567567598,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_99,Uasin Gishu,21.991621621621647,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_100,Uasin Gishu,22.84000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_101,Uasin Gishu,19.970540540540572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_102,Uasin Gishu,20.002222222222247,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_103,Uasin Gishu,19.718648648648685,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_104,Uasin Gishu,19.16891891891895,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_105,Uasin Gishu,19.07833333333337,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_106,Uasin Gishu,19.022972972973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_107,Uasin Gishu,19.991081081081113,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_108,Uasin Gishu,21.513783783783822,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_109,Uasin Gishu,22.112162162162186,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_110,Uasin Gishu,23.37810810810814,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_111,Uasin Gishu,23.855945945945976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_112,Uasin Gishu,24.094324324324354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_113,Uasin Gishu,24.076111111111143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_114,Uasin Gishu,23.047777777777817,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_115,Uasin Gishu,21.693333333333367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_116,Uasin Gishu,21.107777777777805,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_117,Uasin Gishu,21.142777777777805,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_118,Uasin Gishu,22.171111111111138,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_119,Uasin Gishu,23.18621621621625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_120,Uasin Gishu,18.839729729729758,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_121,Uasin Gishu,18.779189189189218,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_122,Uasin Gishu,18.919444444444466,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_123,Uasin Gishu,20.32189189189192,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_124,Uasin Gishu,20.02027027027029,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_125,Uasin Gishu,19.56111111111115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_126,Uasin Gishu,19.586216216216247,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_127,Uasin Gishu,20.566216216216237,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_128,Uasin Gishu,21.646216216216242,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_129,Uasin Gishu,22.394324324324355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_130,Uasin Gishu,23.09594594594597,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_131,Uasin Gishu,23.298648648648673,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_132,Uasin Gishu,23.474324324324353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_133,Uasin Gishu,23.43594594594597,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_134,Uasin Gishu,22.91378378378381,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_135,Uasin Gishu,22.544054054054076,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_136,Uasin Gishu,22.03972972972976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_137,Uasin Gishu,22.224594594594624,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_138,Uasin Gishu,22.395000000000024,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_139,Uasin Gishu,23.419444444444487,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_140,Uasin Gishu,18.929459459459494,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_141,Uasin Gishu,19.029459459459495,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_142,Uasin Gishu,18.793783783783812,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_143,Uasin Gishu,19.166666666666693,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_144,Uasin Gishu,20.13555555555558,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_145,Uasin Gishu,21.615405405405422,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_146,Uasin Gishu,21.19648648648652,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_147,Uasin Gishu,21.20729729729733,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_148,Uasin Gishu,21.444594594594616,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_149,Uasin Gishu,22.011081081081112,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_150,Uasin Gishu,21.938108108108132,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_151,Uasin Gishu,21.527837837837875,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_152,Uasin Gishu,21.55540540540543,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_153,Uasin Gishu,21.64081081081084,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_154,Uasin Gishu,22.546216216216255,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_155,Uasin Gishu,23.18513513513517,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_156,Uasin Gishu,23.3402702702703,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_157,Uasin Gishu,23.12405405405409,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_158,Uasin Gishu,23.027837837837872,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_159,Uasin Gishu,23.391111111111133,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_160,Uasin Gishu,23.216111111111143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_161,Uasin Gishu,19.55054054054056,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_162,Uasin Gishu,19.597027027027057,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_163,Uasin Gishu,19.851081081081116,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_164,Uasin Gishu,20.04833333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156_165,Uasin Gishu,20.21388888888891,"{""type"":""MultiPoint"",""coordinates"":[]}"
